Campaign,Currency code,Cost,Clicks,Impr.,CTR,Avg. CPC
CM | Brand | Lead Generation Web | Acquisizione | it | IT || Paid || Google,EUR,2660.72,900,"7,766",11.59%,2.96
P|MAX | Angoli | Lead Generation Web | Acquisizione | it | IT || Paid || Google,EUR,1684.08,"1,298","94,707",1.37%,1.3
