Campaign name,Ad Set Name,Ad name,Currency,Amount spent (EUR),Impressions,Clicks (all),CPC (all),CTR (all),Frequency
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,"Reel, Video Ads 6 || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta",EUR,109.48,11458,84,1.30333333,0.73311224,1.41509201
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Golf tree || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,35.9,2435,38,0.94473684,1.56057495,1.41652123
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,Sorri for my English || TEST - Advantage+ shopping campaign || Paid || Meta,EUR,735.51,211183,1013,0.72607108,0.47967876,1.41730703
Lead generation | ESP || Paid | Meta,Broad 1 || Lead generation | ESP || Paid | Meta,"Corporate, 3 || Broad 1 || Lead generation | ESP || Paid | Meta",EUR,52.94,6574,70,0.75628571,1.06480073,1.41833873
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Paper cutter || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,63.28,13944,140,0.452,1.00401606,1.4190922
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,"Reel, Video Ads 1 || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta",EUR,275.45,48658,383,0.7191906,0.78712647,1.42166774
REMARKETING - Landing - Contact || Paid || Meta,STATIC - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta,"Reel, Standard 2 || STATIC - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta",EUR,5.68,855,21,0.27047619,2.45614035,1.42262895
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Job offer || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,7.21,1006,19,0.37947368,1.88866799,1.42291372
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Scioglilingua || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,37.61,3812,32,1.1753125,0.83945435,1.43524096
US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Campaign,US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Ad set,"Reel, Video Ads 1 || US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta",EUR,107.27,5240,124,0.86508065,2.36641221,1.43640351
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,Matcha || TEST - Advantage+ shopping campaign || Paid || Meta,EUR,10.91,2569,29,0.3762069,1.12884391,1.4440697
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,Ridere i polli || TEST - Advantage+ shopping campaign || Paid || Meta,EUR,6.41,2083,11,0.58272727,0.52808449,1.4445215
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Bewerbung abgelehnt || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,42.02,3065,35,1.20057143,1.14192496,1.44507308
US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Campaign,US - ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta Ad set,Price shock || US - ESP LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,1.52,77,4,0.38,5.19480519,1.45283019
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Price shock || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,32.14,4264,33,0.97393939,0.7739212,1.45777778
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,IELTS || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,221.78,53599,378,0.58671958,0.70523704,1.46098073
REMARKETING - Landing - Contact || Paid || Meta,STATIC - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta,"Certificato, Aliz || STATIC - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta",EUR,2.5,328,9,0.27777778,2.74390244,1.46428571
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,"Reel, UGC 3 || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta",EUR,214.43,19765,202,1.06153465,1.0220086,1.47028193
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,"Standard Jan25, 2 || TEST - Advantage+ shopping campaign || Paid || Meta",EUR,134.86,39680,249,0.54160643,0.62752016,1.47608065
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Job offer || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,218.38,16286,144,1.51652778,0.88419501,1.47625091
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,"Illustrate, Elon || TEST - Advantage+ shopping campaign || Paid || Meta",EUR,21.11,6572,60,0.35183333,0.91296409,1.48218313
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,How I learned || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,88.34,21314,104,0.84942308,0.4879422,1.49898024
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,"Reel, Video Ads 6 || TEST - Advantage+ shopping campaign || Paid || Meta",EUR,40.58,9232,71,0.5715493,0.76906412,1.50138234
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,"Reel, Video Ads 1 || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta",EUR,70.72,7190,65,1.088,0.90403338,1.52848639
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Urlaub || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,98.78,7166,76,1.29973684,1.06056377,1.52988898
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Frustration || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,188.7,17255,137,1.37737226,0.79397276,1.52996985
